seed,method,next_count,decision,risk,bank_risk,stopping_threshold,continue_collapsed,long_continue_collapsed,actual_collapsed,actual_score,decision_latency_seconds,generation_latency_seconds,prediction_invocation_id,applied_vla_motor_steps,diagnostic_technical_failure
68000,vla,1,place,,,,False,False,False,1,1.0830000292116893e-06,,,72,
68000,vla,2,place,,,,False,False,False,2,8.749999551582732e-07,,,72,
68000,vla,3,place,,,,False,False,False,3,8.340000476891873e-07,,,72,
68000,vla,4,place,,,,False,False,False,4,8.329999445777503e-07,,,72,
68000,vla,5,place,,,,False,False,False,5,6.669999947916949e-07,,,72,
68000,vla,6,place,,,,False,False,False,6,9.999999974752427e-07,,,72,
68000,vla,7,place,,,,False,False,False,7,8.749999551582732e-07,,,72,
68000,vla,8,place,,,,False,False,False,8,7.910000476840651e-07,,,72,
68000,vla,9,place,,,,False,False,False,9,8.750000688451109e-07,,,72,
68000,vla,10,place,,,,True,True,True,0,8.33000058264588e-07,,,72,
68000,rule,1,place,,,,False,False,False,1,9.579999868947198e-07,,,72,
68000,rule,2,place,,,,False,False,False,2,1.2500000821091817e-06,,,72,
68000,rule,3,place,,,,False,False,False,3,9.169999657387962e-07,,,72,
68000,rule,4,place,,,,False,False,False,4,9.999999974752427e-07,,,72,
68000,rule,5,place,,,,False,False,False,5,9.999999974752427e-07,,,72,
68000,rule,6,place,,,,False,False,False,6,9.999999974752427e-07,,,72,
68000,rule,7,place,,,,False,False,False,7,1.0830000292116893e-06,,,72,
68000,rule,8,place,,,,False,False,False,8,1.0409999049443286e-06,,,72,
68000,rule,9,place,,,,False,False,False,9,9.99999883788405e-07,,,72,
68000,rule,10,bank,,,,True,True,False,9,9.57999873207882e-07,,,0,
68000,width_rule,1,place,,,,False,False,False,1,2.2500000795844244e-06,,,72,
68000,width_rule,2,place,,,,False,False,False,2,2.124999923580617e-06,,,72,
68000,width_rule,3,place,,,,False,False,False,3,1.83400004516443e-06,,,72,
68000,width_rule,4,place,,,,False,False,False,4,1.5829999711058917e-06,,,72,
68000,width_rule,5,place,,,,False,False,False,5,1.7910000451593078e-06,,,72,
68000,width_rule,6,place,,,,False,False,False,6,1.7910000451593078e-06,,,72,
68000,width_rule,7,place,,,,False,False,False,7,1.5410000742122065e-06,,,72,
68000,width_rule,8,place,,,,False,False,False,8,1.7920001482707448e-06,,,72,
68000,width_rule,9,bank,,,,False,False,False,8,1.624999867999577e-06,,,0,
68000,extratrees,1,place,0.0,0.0,0.5,False,False,False,1,0.15899812500003918,,,72,
68000,extratrees,2,place,0.0,0.0,0.5,False,False,False,2,0.13613550000002306,,,72,
68000,extratrees,3,place,0.0,0.0,0.5,False,False,False,3,0.13864383299994643,,,72,
68000,extratrees,4,place,0.0,0.0,0.5,False,False,False,4,0.11272445800000241,,,72,
68000,extratrees,5,place,0.0,0.0,0.5,False,False,False,5,0.13386195800001133,,,72,
